Beam,Station (m),ETABS M3 (kN·m),2D M (kN·m),3D M (kN·m),FEM M (kN·m),Δ2D%,Δ3D%,ΔFEM%
B46,1.000,4.42,3.99,4.63,2.31,-9.8%,+4.8%,-47.8%
B46,1.000,4.71,3.99,4.63,2.31,-15.2%,-1.6%,-50.9%
B46,1.500,5.56,6.35,7.06,3.16,+14.1%,+26.9%,-43.2%
B46,2.000,5.85,5.39,6.12,2.20,-7.9%,+4.6%,-62.3%
B46,2.000,5.67,5.39,6.12,2.20,-5.0%,+7.8%,-61.2%
B46,2.400,2.34,2.24,2.94,0.14,-4.3%,+26.0%,-94.1%
B46,2.800,-1.36,-3.04,-2.38,-3.08,-122.8%,-74.8%,-126.3%
B46,0.200,-3.91,-6.67,-6.23,-2.81,-70.6%,-59.5%,+28.2%
B46,0.600,0.13,-0.28,0.28,0.33,-314.9%,+113.6%,+155.0%
B46,1.000,3.75,3.99,4.63,2.31,+6.5%,+23.7%,-38.3%
B46,1.000,3.99,3.99,4.63,2.31,+0.1%,+16.3%,-42.0%
B46,1.500,4.81,6.35,7.06,3.16,+32.0%,+46.8%,-34.3%
B46,2.000,4.97,5.39,6.12,2.20,+8.4%,+23.0%,-55.7%
B46,2.000,4.82,5.39,6.12,2.20,+11.7%,+26.8%,-54.3%
B46,2.400,2.03,2.24,2.94,0.14,+10.4%,+45.3%,-93.2%
B46,2.800,-1.19,-3.04,-2.38,-3.08,-154.4%,-99.6%,-158.4%
B25,0.200,-5.62,-3.66,0.00,0.00,+35.0%,+100.0%,+100.0%
B25,0.600,3.57,2.50,0.00,0.00,-30.0%,-100.0%,-100.0%
B25,1.000,12.40,6.23,0.00,0.00,-49.7%,-100.0%,-100.0%
B25,1.000,13.35,6.23,0.00,0.00,-53.3%,-100.0%,-100.0%
B25,1.500,16.25,7.49,0.00,0.00,-53.9%,-100.0%,-100.0%
B25,2.000,18.59,4.97,0.00,0.00,-73.3%,-100.0%,-100.0%
B25,2.000,18.39,4.97,0.00,0.00,-73.0%,-100.0%,-100.0%
B25,2.500,13.93,-1.34,0.00,0.00,-109.6%,-100.0%,-100.0%
B25,3.000,8.91,-11.44,0.00,0.00,-228.4%,-100.0%,-100.0%
B25,0.200,-4.68,-3.66,0.00,0.00,+21.9%,+100.0%,+100.0%
B25,0.600,2.99,2.50,0.00,0.00,-16.4%,-100.0%,-100.0%
B25,1.000,10.24,6.23,0.00,0.00,-39.1%,-100.0%,-100.0%
B25,1.000,11.02,6.23,0.00,0.00,-43.4%,-100.0%,-100.0%
B25,1.500,13.54,7.49,0.00,0.00,-44.7%,-100.0%,-100.0%
B25,2.000,15.40,4.97,0.00,0.00,-67.7%,-100.0%,-100.0%
B25,2.000,15.23,4.97,0.00,0.00,-67.4%,-100.0%,-100.0%
B25,2.500,11.68,-1.34,0.00,0.00,-111.5%,-100.0%,-100.0%
B25,3.000,7.47,-11.44,0.00,0.00,-253.2%,-100.0%,-100.0%
B44,0.200,-6.82,-5.73,-2.48,0.00,+15.9%,+63.6%,+100.0%
B44,0.600,-0.33,0.32,3.08,0.00,+197.7%,+1043.5%,+100.0%
B44,1.000,5.80,4.31,6.60,0.00,-25.7%,+13.8%,-100.0%
B44,1.000,6.43,4.31,6.60,0.00,-32.9%,+2.7%,-100.0%
B44,1.500,7.61,6.42,8.13,0.00,-15.7%,+6.9%,-100.0%
B44,2.000,8.22,5.30,6.47,0.00,-35.4%,-21.3%,-100.0%
B44,2.000,7.91,5.30,6.47,0.00,-32.9%,-18.2%,-100.0%
B44,2.400,3.40,2.10,2.83,0.00,-38.1%,-16.7%,-100.0%
B44,2.800,-1.47,-3.16,-2.85,0.00,-114.0%,-93.1%,+100.0%
B44,0.200,-5.74,-5.73,-2.48,0.00,+0.2%,+56.7%,+100.0%
B44,0.600,-0.30,0.32,3.08,0.00,+208.0%,+1143.8%,+100.0%
B44,1.000,4.73,4.31,6.60,0.00,-8.8%,+39.7%,-100.0%
B44,1.000,5.25,4.31,6.60,0.00,-17.9%,+25.8%,-100.0%
B44,1.500,6.34,6.42,8.13,0.00,+1.1%,+28.2%,-100.0%
B44,2.000,6.77,5.30,6.47,0.00,-21.7%,-4.6%,-100.0%
B44,2.000,6.52,5.30,6.47,0.00,-18.7%,-0.9%,-100.0%
B44,2.400,2.86,2.10,2.83,0.00,-26.4%,-1.0%,-100.0%
B44,2.800,-1.23,-3.16,-2.85,0.00,-156.9%,-131.9%,+100.0%
B36,0.100,-11.17,-8.42,-7.49,-0.83,+24.6%,+32.9%,+92.6%
B36,0.550,-7.61,-2.76,-2.36,0.44,+63.7%,+69.0%,+105.8%
B36,1.000,-4.50,0.00,0.00,0.86,+100.0%,+100.0%,+119.1%
B36,1.000,-4.35,0.00,0.00,0.86,+100.0%,+100.0%,+119.8%
B36,1.450,-4.28,-0.13,-0.42,0.44,+96.9%,+90.3%,+110.3%
B36,1.900,-4.67,-3.17,-3.60,-0.83,+32.2%,+22.8%,+82.3%
B36,0.100,-9.59,-8.42,-7.49,-0.83,+12.2%,+21.8%,+91.4%
B36,0.550,-6.43,-2.76,-2.36,0.44,+57.0%,+63.3%,+106.8%
B36,1.000,-3.80,0.00,0.00,0.86,+100.0%,+100.0%,+122.7%
B36,1.000,-3.67,0.00,0.00,0.86,+100.0%,+100.0%,+123.5%
B36,1.450,-3.60,-0.13,-0.42,0.44,+96.3%,+88.5%,+112.2%
B36,1.900,-4.07,-3.17,-3.60,-0.83,+22.2%,+11.4%,+79.7%
B35,0.200,-9.72,-5.35,-2.12,0.00,+44.9%,+78.2%,+100.0%
B35,0.600,-1.08,0.28,3.05,0.00,+125.5%,+381.7%,+100.0%
B35,1.000,7.19,4.00,6.31,0.00,-44.5%,-12.3%,-100.0%
B35,1.000,7.97,4.00,6.31,0.00,-49.9%,-20.9%,-100.0%
B35,1.500,9.32,5.96,7.70,0.00,-36.1%,-17.4%,-100.0%
B35,2.000,10.11,4.93,6.11,0.00,-51.2%,-39.5%,-100.0%
B35,2.000,9.74,4.93,6.11,0.00,-49.4%,-37.2%,-100.0%
B35,2.400,4.17,1.96,2.70,0.00,-53.1%,-35.4%,-100.0%
B35,2.800,-1.75,-2.92,-2.63,0.00,-67.1%,-50.1%,+100.0%
B35,0.200,-8.23,-5.35,-2.12,0.00,+35.0%,+74.3%,+100.0%
B35,0.600,-0.97,0.28,3.05,0.00,+128.4%,+413.7%,+100.0%
B35,1.000,5.87,4.00,6.31,0.00,-31.9%,+7.5%,-100.0%
B35,1.000,6.51,4.00,6.31,0.00,-38.7%,-3.2%,-100.0%
B35,1.500,7.76,5.96,7.70,0.00,-23.2%,-0.7%,-100.0%
B35,2.000,8.34,4.93,6.11,0.00,-40.9%,-26.7%,-100.0%
B35,2.000,8.04,4.93,6.11,0.00,-38.6%,-23.9%,-100.0%
B35,2.400,3.50,1.96,2.70,0.00,-44.0%,-22.9%,-100.0%
B35,2.800,-1.46,-2.92,-2.63,0.00,-99.6%,-79.3%,+100.0%
B2,0.100,0.78,-9.83,-10.06,-9.44,-1352.2%,-1382.4%,-1302.4%
B2,0.550,7.39,2.44,2.22,-0.88,-67.0%,-70.0%,-111.9%
B2,1.000,13.54,10.01,9.82,4.48,-26.1%,-27.5%,-66.9%
B2,1.000,13.97,10.01,9.82,4.48,-28.4%,-29.7%,-67.9%
B2,1.500,12.88,12.91,12.76,6.71,+0.2%,-1.0%,-47.9%
B2,2.000,11.23,10.01,9.91,5.00,-10.9%,-11.8%,-55.5%
B2,2.000,10.29,10.01,9.91,5.00,-2.7%,-3.7%,-51.4%
B2,2.450,1.31,2.44,2.40,0.10,+85.9%,+82.6%,-92.2%
B2,2.900,-8.12,-9.83,-9.80,-7.98,-21.0%,-20.8%,+1.7%
B2,0.100,0.60,-9.83,-10.06,-9.44,-1743.0%,-1782.7%,-1677.7%
B2,0.550,6.17,2.44,2.22,-0.88,-60.4%,-64.0%,-114.3%
B2,1.000,11.20,10.01,9.82,4.48,-10.6%,-12.4%,-60.0%
B2,1.000,11.56,10.01,9.82,4.48,-13.4%,-15.1%,-61.2%
B2,1.500,10.76,12.91,12.76,6.71,+20.0%,+18.6%,-37.6%
B2,2.000,9.30,10.01,9.91,5.00,+7.6%,+6.6%,-46.2%
B2,2.000,8.52,10.01,9.91,5.00,+17.5%,+16.4%,-41.3%
B2,2.450,1.14,2.44,2.40,0.10,+114.9%,+111.1%,-91.0%
B2,2.900,-6.78,-9.83,-9.80,-7.98,-44.9%,-44.6%,-17.8%
B15,0.200,-4.81,-3.11,0.00,0.00,+35.4%,+100.0%,+100.0%
B15,0.600,4.04,2.12,0.00,0.00,-47.5%,-100.0%,-100.0%
B15,1.000,12.52,5.29,0.00,0.00,-57.7%,-100.0%,-100.0%
B15,1.000,13.46,5.29,0.00,0.00,-60.7%,-100.0%,-100.0%
B15,1.500,16.09,6.37,0.00,0.00,-60.4%,-100.0%,-100.0%
B15,2.000,18.15,4.22,0.00,0.00,-76.7%,-100.0%,-100.0%
B15,2.000,17.90,4.22,0.00,0.00,-76.4%,-100.0%,-100.0%
B15,2.500,13.01,-1.13,0.00,0.00,-108.7%,-100.0%,-100.0%
B15,3.000,7.55,-9.70,0.00,0.00,-228.4%,-100.0%,-100.0%
B15,0.200,-4.02,-3.11,0.00,0.00,+22.8%,+100.0%,+100.0%
B15,0.600,3.38,2.12,0.00,0.00,-37.2%,-100.0%,-100.0%
B15,1.000,10.36,5.29,0.00,0.00,-48.9%,-100.0%,-100.0%
B15,1.000,11.13,5.29,0.00,0.00,-52.4%,-100.0%,-100.0%
B15,1.500,13.41,6.37,0.00,0.00,-52.5%,-100.0%,-100.0%
B15,2.000,15.04,4.22,0.00,0.00,-71.9%,-100.0%,-100.0%
B15,2.000,14.83,4.22,0.00,0.00,-71.5%,-100.0%,-100.0%
B15,2.500,10.90,-1.13,0.00,0.00,-110.4%,-100.0%,-100.0%
B15,3.000,6.32,-9.70,0.00,0.00,-253.6%,-100.0%,-100.0%
B16,0.000,0.00,-14.04,0.00,0.00,0.0%,0.0%,0.0%
B16,0.500,1.26,0.46,0.00,0.00,-63.5%,-100.0%,-100.0%
B16,1.000,1.96,9.16,0.00,0.00,+368.3%,-100.0%,-100.0%
B16,1.000,3.74,9.16,0.00,0.00,+144.8%,-100.0%,-100.0%
B16,1.500,4.16,12.06,0.00,0.00,+189.8%,-100.0%,-100.0%
B16,2.000,4.02,9.16,0.00,0.00,+128.1%,-100.0%,-100.0%
B16,2.000,2.41,9.16,0.00,0.00,+280.0%,-100.0%,-100.0%
B16,2.500,1.49,0.46,0.00,0.00,-69.1%,-100.0%,-100.0%
B16,3.000,0.00,-14.04,0.00,0.00,0.0%,0.0%,0.0%
B16,0.000,0.00,-14.04,0.00,0.00,0.0%,0.0%,0.0%
B16,0.500,1.14,0.46,0.00,0.00,-59.5%,-100.0%,-100.0%
B16,1.000,1.61,9.16,0.00,0.00,+467.4%,-100.0%,-100.0%
B16,1.000,3.09,9.16,0.00,0.00,+196.2%,-100.0%,-100.0%
B16,1.500,3.54,12.06,0.00,0.00,+240.7%,-100.0%,-100.0%
B16,2.000,3.33,9.16,0.00,0.00,+175.4%,-100.0%,-100.0%
B16,2.000,2.00,9.16,0.00,0.00,+357.9%,-100.0%,-100.0%
B16,2.500,1.33,0.46,0.00,0.00,-65.4%,-100.0%,-100.0%
B16,3.000,0.00,-14.04,0.00,0.00,0.0%,0.0%,0.0%
B18,0.100,-7.60,-8.26,-8.20,-3.34,-8.7%,-8.0%,+56.1%
B18,0.550,-2.30,-1.12,-1.12,0.03,+51.3%,+51.3%,+101.2%
B18,1.000,2.53,3.28,3.25,2.11,+29.5%,+28.3%,-16.9%
B18,1.000,2.83,3.28,3.25,2.11,+16.0%,+15.0%,-25.5%
B18,1.500,3.43,4.97,4.93,2.90,+44.7%,+43.7%,-15.5%
B18,2.000,3.47,3.28,3.27,2.11,-5.5%,-5.9%,-39.3%
B18,2.000,3.23,3.28,3.27,2.11,+1.5%,+1.1%,-34.8%
B18,2.450,-1.02,-1.12,-1.09,0.03,-10.2%,-7.5%,+102.8%
B18,2.900,-5.73,-8.26,-8.16,-3.34,-44.2%,-42.6%,+41.7%
B18,0.100,-6.57,-8.26,-8.20,-3.34,-25.7%,-24.9%,+49.2%
B18,0.550,-1.93,-1.12,-1.12,0.03,+41.9%,+42.0%,+101.5%
B18,1.000,2.17,3.28,3.25,2.11,+51.0%,+49.7%,-3.1%
B18,1.000,2.42,3.28,3.25,2.11,+35.6%,+34.4%,-13.0%
B18,1.500,3.02,4.97,4.93,2.90,+64.4%,+63.2%,-4.0%
B18,2.000,2.96,3.28,3.27,2.11,+10.7%,+10.2%,-28.9%
B18,2.000,2.76,3.28,3.27,2.11,+18.8%,+18.2%,-23.7%
B18,2.450,-0.85,-1.12,-1.09,0.03,-32.3%,-29.1%,+103.4%
B18,2.900,-4.99,-8.26,-8.16,-3.34,-65.4%,-63.6%,+33.1%
B28,0.200,-4.29,-9.41,-6.97,-7.31,-119.6%,-62.6%,-70.6%
B28,0.600,1.98,-0.20,2.02,-2.06,-110.1%,+1.7%,-204.1%
B28,1.000,7.88,6.57,8.54,1.89,-16.7%,+8.3%,-76.1%
B28,1.000,8.26,6.57,8.54,1.89,-20.4%,+3.4%,-77.1%
B28,1.500,10.40,11.60,13.24,5.00,+11.6%,+27.3%,-51.9%
B28,2.000,11.97,12.82,14.09,6.07,+7.1%,+17.7%,-49.3%
B28,2.000,11.87,12.82,14.09,6.07,+8.0%,+18.7%,-48.8%
B28,2.500,8.39,10.23,11.11,5.12,+22.0%,+32.4%,-39.0%
B28,3.000,4.34,3.83,4.28,2.13,-11.7%,-1.3%,-50.8%
B28,3.000,3.78,3.83,4.28,2.13,+1.3%,+13.3%,-43.6%
B28,3.400,-3.17,-4.03,-3.94,-1.72,-27.2%,-24.3%,+45.8%
B28,3.800,-10.49,-14.34,-14.63,-6.87,-36.7%,-39.5%,+34.5%
B28,0.200,-3.64,-9.41,-6.97,-7.31,-158.2%,-91.2%,-100.7%
B28,0.600,1.73,-0.20,2.02,-2.06,-111.6%,+16.7%,-219.5%
B28,1.000,6.67,6.57,8.54,1.89,-1.6%,+27.9%,-71.7%
B28,1.000,6.99,6.57,8.54,1.89,-6.0%,+22.2%,-73.0%
B28,1.500,8.89,11.60,13.24,5.00,+30.5%,+48.9%,-43.8%
B28,2.000,10.13,12.82,14.09,6.07,+26.6%,+39.1%,-40.0%
B28,2.000,10.05,12.82,14.09,6.07,+27.6%,+40.3%,-39.5%
B28,2.500,7.19,10.23,11.11,5.12,+42.4%,+54.6%,-28.7%
B28,3.000,3.66,3.83,4.28,2.13,+4.6%,+16.9%,-41.7%
B28,3.000,3.19,3.83,4.28,2.13,+20.0%,+34.1%,-33.2%
B28,3.400,-2.69,-4.03,-3.94,-1.72,-49.7%,-46.4%,+36.2%
B28,3.800,-9.00,-14.34,-14.63,-6.87,-59.2%,-62.5%,+23.7%
B43,0.200,-8.17,-9.50,-10.17,-2.63,-16.4%,-24.5%,+67.8%
B43,0.600,-3.82,-2.77,-3.29,0.31,+27.6%,+14.0%,+108.0%
B43,1.000,0.16,1.73,1.32,2.17,+1008.6%,+745.8%,+1288.6%
B43,1.000,0.44,1.73,1.32,2.17,+291.5%,+198.7%,+390.4%
B43,1.500,1.45,4.22,3.89,3.00,+191.3%,+168.7%,+106.8%
B43,2.000,1.89,3.22,2.92,2.15,+70.4%,+54.5%,+13.6%
