Beam,Station (m),ETABS M3 (kN·m),2D M (kN·m),3D M (kN·m),FEM M (kN·m),Δ2D%,Δ3D%,ΔFEM%
B13,1.000,14.99,6.22,0.00,0.00,-58.5%,-100.0%,-100.0%
B13,1.500,16.89,7.48,0.00,0.00,-55.7%,-100.0%,-100.0%
B13,2.000,18.22,4.96,0.00,0.00,-72.8%,-100.0%,-100.0%
B13,2.000,17.97,4.96,0.00,0.00,-72.4%,-100.0%,-100.0%
B13,2.500,14.13,-1.33,0.00,0.00,-109.4%,-100.0%,-100.0%
B13,3.000,9.74,-11.40,0.00,0.00,-217.1%,-100.0%,-100.0%
B13,0.100,-1.15,-5.56,0.00,0.00,-384.5%,+100.0%,+100.0%
B13,0.550,5.58,1.86,0.00,0.00,-66.7%,-100.0%,-100.0%
B13,1.000,11.77,6.22,0.00,0.00,-47.2%,-100.0%,-100.0%
B13,1.000,12.42,6.22,0.00,0.00,-49.9%,-100.0%,-100.0%
B13,1.500,14.10,7.48,0.00,0.00,-47.0%,-100.0%,-100.0%
B13,2.000,15.13,4.96,0.00,0.00,-67.2%,-100.0%,-100.0%
B13,2.000,14.93,4.96,0.00,0.00,-66.8%,-100.0%,-100.0%
B13,2.500,11.92,-1.33,0.00,0.00,-111.2%,-100.0%,-100.0%
B13,3.000,8.25,-11.40,0.00,0.00,-238.1%,-100.0%,-100.0%
B6,0.200,-7.75,-9.50,-10.01,-2.62,-22.7%,-29.2%,+66.2%
B6,0.600,-3.48,-2.77,-3.17,0.26,+20.4%,+8.8%,+107.6%
B6,1.000,0.43,1.73,1.40,2.11,+302.3%,+223.7%,+388.4%
B6,1.000,0.74,1.73,1.40,2.11,+135.4%,+89.4%,+185.8%
B6,1.500,1.70,4.22,3.91,2.94,+148.2%,+130.0%,+73.1%
B6,2.000,2.10,3.22,2.88,2.16,+53.4%,+37.4%,+2.9%
B6,2.000,1.94,3.22,2.88,2.16,+65.6%,+48.3%,+11.1%
B6,2.400,-1.63,-0.09,-0.49,0.36,+94.4%,+69.8%,+122.3%
B6,2.800,-5.56,-5.64,-6.13,-2.47,-1.4%,-10.4%,+55.5%
B6,0.200,-6.68,-9.50,-10.01,-2.62,-42.3%,-49.8%,+60.8%
B6,0.600,-2.94,-2.77,-3.17,0.26,+5.7%,-8.0%,+109.0%
B6,1.000,0.39,1.73,1.40,2.11,+350.2%,+262.3%,+446.6%
B6,1.000,0.64,1.73,1.40,2.11,+169.7%,+117.0%,+227.4%
B6,1.500,1.55,4.22,3.91,2.94,+171.7%,+151.8%,+89.5%
B6,2.000,1.81,3.22,2.88,2.16,+78.4%,+59.8%,+19.7%
B6,2.000,1.68,3.22,2.88,2.16,+92.3%,+72.2%,+28.9%
B6,2.400,-1.35,-0.09,-0.49,0.36,+93.2%,+63.6%,+126.9%
B6,2.800,-4.79,-5.64,-6.13,-2.47,-17.6%,-28.0%,+48.4%
B11,0.100,-0.48,-12.33,-12.15,-8.79,-2484.2%,-2446.2%,-1742.1%
B11,0.550,5.64,-1.38,-1.24,-2.68,-124.5%,-121.9%,-147.5%
B11,1.000,11.31,6.50,6.61,1.82,-42.5%,-41.5%,-83.9%
B11,1.000,11.67,6.50,6.61,1.82,-44.3%,-43.3%,-84.4%
B11,1.500,13.33,11.66,11.73,4.92,-12.5%,-12.0%,-63.1%
B11,2.000,14.42,13.04,13.05,6.03,-9.6%,-9.5%,-58.2%
B11,2.000,14.30,13.04,13.05,6.03,-8.8%,-8.7%,-57.8%
B11,2.500,10.36,10.64,10.58,5.15,+2.7%,+2.1%,-50.3%
B11,3.000,5.86,4.44,4.32,2.28,-24.1%,-26.3%,-61.0%
B11,3.000,5.27,4.44,4.32,2.28,-15.6%,-17.9%,-56.6%
B11,3.450,-2.81,-4.36,-4.56,-2.00,-55.1%,-61.8%,+28.8%
B11,3.900,-11.35,-16.24,-16.50,-7.90,-43.0%,-45.4%,+30.4%
B11,0.100,-0.49,-12.33,-12.15,-8.79,-2434.3%,-2397.0%,-1706.5%
B11,0.550,4.82,-1.38,-1.24,-2.68,-128.7%,-125.6%,-155.7%
B11,1.000,9.59,6.50,6.61,1.82,-32.2%,-31.0%,-81.1%
B11,1.000,9.89,6.50,6.61,1.82,-34.3%,-33.2%,-81.6%
B11,1.500,11.38,11.66,11.73,4.92,+2.5%,+3.0%,-56.8%
B11,2.000,12.21,13.04,13.05,6.03,+6.8%,+6.8%,-50.6%
B11,2.000,12.11,13.04,13.05,6.03,+7.7%,+7.8%,-50.2%
B11,2.500,8.86,10.64,10.58,5.15,+20.0%,+19.4%,-41.8%
B11,3.000,4.96,4.44,4.32,2.28,-10.3%,-12.8%,-53.9%
B11,3.000,4.45,4.44,4.32,2.28,-0.2%,-3.0%,-48.8%
B11,3.450,-2.39,-4.36,-4.56,-2.00,-82.6%,-90.6%,+16.1%
B11,3.900,-9.77,-16.24,-16.50,-7.90,-66.2%,-69.0%,+19.1%
B1,0.200,-2.96,-9.41,-6.84,-7.31,-218.2%,-131.3%,-147.3%
B1,0.600,2.71,-0.20,2.13,-2.06,-107.4%,-21.6%,-176.0%
B1,1.000,8.02,6.57,8.63,1.89,-18.1%,+7.6%,-76.4%
B1,1.000,8.38,6.57,8.63,1.89,-21.6%,+3.0%,-77.5%
B1,1.500,10.25,11.60,13.31,5.00,+13.2%,+29.8%,-51.2%
B1,2.000,11.55,12.82,14.14,6.08,+11.0%,+22.4%,-47.4%
B1,2.000,11.44,12.82,14.14,6.08,+12.1%,+23.5%,-46.9%
B1,2.500,7.91,10.23,11.12,5.12,+29.3%,+40.6%,-35.3%
B1,3.000,3.82,3.83,4.27,2.13,+0.4%,+11.8%,-44.1%
B1,3.000,3.26,3.83,4.27,2.13,+17.6%,+31.0%,-34.6%
B1,3.400,-3.54,-4.03,-3.99,-1.72,-14.1%,-12.7%,+51.3%
B1,3.800,-10.69,-14.34,-14.70,-6.88,-34.1%,-37.5%,+35.7%
B1,0.200,-2.58,-9.41,-6.84,-7.31,-265.0%,-165.3%,-183.7%
B1,0.600,2.32,-0.20,2.13,-2.06,-108.6%,-8.2%,-189.0%
B1,1.000,6.79,6.57,8.63,1.89,-3.2%,+27.2%,-72.2%
B1,1.000,7.09,6.57,8.63,1.89,-7.3%,+21.8%,-73.3%
B1,1.500,8.76,11.60,13.31,5.00,+32.4%,+51.9%,-42.9%
B1,2.000,9.77,12.82,14.14,6.08,+31.2%,+44.6%,-37.8%
B1,2.000,9.69,12.82,14.14,6.08,+32.4%,+46.0%,-37.3%
B1,2.500,6.78,10.23,11.12,5.12,+50.9%,+64.0%,-24.5%
B1,3.000,3.22,3.83,4.27,2.13,+19.0%,+32.5%,-33.8%
B1,3.000,2.75,3.83,4.27,2.13,+39.3%,+55.1%,-22.5%
B1,3.400,-3.00,-4.03,-3.99,-1.72,-34.4%,-32.7%,+42.6%
B1,3.800,-9.18,-14.34,-14.70,-6.88,-56.2%,-60.2%,+25.1%
